t	vin	vout
7.54928592	0.96823030	275.75000000
7.58928592	0.96823030	275.75000000
7.62928592	0.96823030	275.75000000
7.66928592	0.96823030	275.75000000
7.70928592	0.96823030	280.19040000
7.74928592	0.96823030	280.19040000
7.78928592	0.96823030	280.19040000
7.82928592	0.96823030	280.19040000
7.86928592	0.96823030	280.19040000
7.90928592	0.96823030	284.63090000
7.94928592	0.96823030	280.19040000
7.98928592	0.96823030	280.19040000
8.02928592	0.96823030	275.75000000
8.06928592	0.96823030	284.63090000
8.10928591	0.96823030	271.32480000
8.14928591	0.96823030	289.07130000
8.18928591	0.96823030	284.63090000
8.22928591	0.96823030	280.19040000
8.26928591	0.96823030	289.07130000
8.30928591	0.96823030	284.63090000
8.34928591	0.96823030	284.63090000
8.38928591	0.96823030	289.07130000
8.42928591	0.96823030	289.07130000
8.46928591	0.96823030	289.07130000
8.50928591	0.98574790	284.63090000
8.54928591	0.96823030	289.07130000
8.58928591	0.96823030	293.49650000
8.62928591	0.96823030	289.07130000
8.66928591	0.96823030	293.49650000
8.70928591	0.96823030	289.07130000
8.74928591	0.96823030	293.49650000
8.78928591	0.98574790	293.49650000
8.82928591	0.96823030	293.49650000
8.86928591	0.96823030	293.49650000
8.90928591	0.96823030	293.49650000
8.94928591	0.96823030	293.49650000
8.98928591	0.96823030	293.49650000
9.02928591	0.96823030	297.93700000
9.06928591	0.96823030	293.49650000
9.10928591	0.98574790	289.07130000
9.14928591	0.96823030	297.93700000
9.18928591	0.96823030	293.49650000
9.22928591	0.96823030	297.93700000
9.26928591	0.98574790	297.93700000
9.30928591	0.96823030	297.93700000
9.34928591	0.98574790	297.93700000
9.38928591	0.96823030	297.93700000
9.42928591	0.98574790	297.93700000
9.46928591	0.98574790	297.93700000
9.50928591	0.96823030	297.93700000
9.54928591	0.98574790	297.93700000
9.58928591	0.96823030	297.93700000
9.62928591	0.96823030	302.37740000
9.66928591	0.98574790	297.93700000
9.70928591	0.98574790	302.37740000
9.74928590	0.98574790	302.37740000
9.78928590	0.96823030	302.37740000
9.82928590	0.96823030	302.37740000
9.86928590	0.96823030	302.37740000
9.90928590	0.96823030	302.37740000
9.94928590	0.96823030	302.37740000
