time	V(vout)	V(n001)
4.960036354410547e-003	1.938541e+000	-2.484686e-001
4.979567604410547e-003	1.002254e+000	-1.280282e-001
4.999098854410546e-003	5.089162e-002	-5.662034e-003
5.018630104410546e-003	-9.012356e-001	1.167893e-001
5.038161354410545e-003	-1.839807e+000	2.374839e-001
5.057692604410545e-003	-2.750706e+000	3.546066e-001
5.077223854410545e-003	-3.620232e+000	4.663957e-001
5.096755104410544e-003	-4.435306e+000	5.711698e-001
5.116286354410544e-003	-5.183668e+000	6.673529e-001
5.135817604410543e-003	-5.854064e+000	7.534984e-001
5.155348854410543e-003	-6.436409e+000	8.283106e-001
5.174880104410543e-003	-6.921945e+000	8.906643e-001
5.194411354410542e-003	-7.303369e+000	9.396215e-001
5.213942604410542e-003	-7.574944e+000	9.744459e-001
5.233473854410541e-003	-7.736545e+000	9.946138e-001
5.250361905007093e-003	-7.784727e+000	9.999974e-001
5.265589296433447e-003	-7.745031e+000	9.952067e-001
5.285120546433446e-003	-7.588143e+000	9.757513e-001
5.304651796433446e-003	-7.323574e+000	9.416196e-001
5.324183046433445e-003	-6.948850e+000	8.933252e-001
5.343714296433445e-003	-6.469609e+000	8.315942e-001
5.363245546433445e-003	-5.893059e+000	7.573553e-001
5.382776796433444e-003	-5.227872e+000	6.717252e-001
5.402308046433444e-003	-4.484053e+000	5.759916e-001
5.421839296433443e-003	-3.672789e+000	4.715946e-001
5.441370546433443e-003	-2.806283e+000	3.601043e-001
5.460901796433442e-003	-1.897568e+000	2.431978e-001
5.480433046433442e-003	-9.603122e-001	1.226333e-001
5.499964296433442e-003	-8.612635e-003	2.243321e-004
5.519495546433441e-003	9.432164e-001	-1.221880e-001
5.539026796433441e-003	1.880858e+000	-2.427626e-001
5.558558046433440e-003	2.790210e+000	-3.596857e-001
5.578089296433440e-003	3.657595e+000	-4.711989e-001
5.597620546433440e-003	4.469965e+000	-5.756248e-001
5.617151796433439e-003	5.215104e+000	-6.713927e-001
5.636683046433439e-003	5.881802e+000	-7.570623e-001
5.656214296433438e-003	6.460032e+000	-8.313450e-001
5.675745546433438e-003	6.941099e+000	-8.931234e-001
5.695276796433437e-003	7.317764e+000	-9.414685e-001
5.714808046433437e-003	7.584365e+000	-9.756529e-001
5.734339296433437e-003	7.740037e+000	-9.951627e-001
5.751770992768144e-003	7.782502e+000	-9.999381e-001
5.767883717378744e-003	7.732033e+000	-9.936935e-001
5.787414967378743e-003	7.562918e+000	-9.724945e-001
5.806946217378743e-003	7.285169e+000	-9.366683e-001
5.826477467378743e-003	6.897844e+000	-8.867537e-001
5.846008717378742e-003	6.406769e+000	-8.235015e-001
5.865539967378742e-003	5.819330e+000	-7.478631e-001
5.885071217378741e-003	5.144362e+000	-6.609762e-001
5.904602467378741e-003	4.392019e+000	-5.641475e-001
5.924133717378740e-003	3.573615e+000	-4.588335e-001
5.943664967378740e-003	2.701461e+000	-3.466183e-001
5.963196217378740e-003	1.788675e+000	-2.291895e-001
5.982727467378739e-003	8.489854e-001	-1.083136e-001
6.002258717378739e-003	-1.034734e-001	1.419146e-002
6.021789967378738e-003	-1.054376e+000	1.364831e-001
6.041321217378738e-003	-1.989419e+000	2.567219e-001
6.060852467378738e-003	-2.894540e+000	3.730993e-001
6.080383717378737e-003	-3.756124e+000	4.838650e-001
6.099914967378737e-003	-4.561212e+000	5.873529e-001
6.119446217378736e-003	-5.297695e+000	6.820065e-001
6.138977467378736e-003	-5.954495e+000	7.664021e-001
6.158508717378735e-003	-6.521736e+000	8.392702e-001
6.178039967378735e-003	-6.990883e+000	8.995150e-001
6.197571217378735e-003	-7.354881e+000	9.462302e-001
6.217102467378734e-003	-7.608256e+000	9.787132e-001
6.236633717378734e-003	-7.747195e+000	9.964755e-001
6.256164967378733e-003	-7.770596e+000	9.992499e-001
6.275037562015908e-003	-7.681223e+000	9.876514e-001
6.294568812015907e-003	-7.474203e+000	9.610460e-001
6.314100062015907e-003	-7.155746e+000	9.199856e-001
6.333631312015906e-003	-6.729659e+000	8.650877e-001
6.353162562015906e-003	-6.202351e+000	7.971782e-001
6.372693812015906e-003	-5.581754e+000	7.172783e-001
6.392225062015905e-003	-4.877202e+000	6.265899e-001
6.411756312015905e-003	-4.099292e+000	5.264770e-001
6.431287562015904e-003	-3.259726e+000	4.184454e-001
6.450818812015904e-003	-2.371130e+000	3.041200e-001
6.470350062015903e-003	-1.446870e+000	1.852203e-001
6.489881312015903e-003	-5.008486e-001	6.353477e-002
6.509412562015903e-003	4.527062e-001	-5.910640e-002
6.528943812015902e-003	1.399452e+000	-1.808586e-001
6.548475062015902e-003	2.325148e+000	-2.998904e-001
6.568006312015901e-003	3.215872e+000	-4.144117e-001
6.587537562015901e-003	4.058226e+000	-5.226998e-001
6.607068812015901e-003	4.839540e+000	-6.231260e-001
6.626600062015900e-003	5.548063e+000	-7.141798e-001
6.646131312015900e-003	6.173139e+000	-7.944917e-001
6.665662562015899e-003	6.705364e+000	-8.628537e-001
6.685193812015899e-003	7.136735e+000	-9.182376e-001
6.704725062015898e-003	7.460763e+000	-9.598103e-001
6.724256312015898e-003	7.672575e+000	-9.869466e-001
6.743787562015898e-003	7.769929e+000	-9.992383e-001
6.762689960767491e-003	7.751966e+000	-9.968230e-001
6.782221210767491e-003	7.617763e+000	-9.795765e-001
6.801752460767491e-003	7.369925e+000	-9.475963e-001
6.821283710767490e-003	7.011237e+000	-9.013634e-001
6.840814960767490e-003	6.547092e+000	-8.415731e-001
6.860346210767489e-003	5.984474e+000	-7.691248e-001
6.879877460767489e-003	5.331842e+000	-6.851082e-001
6.899408710767488e-003	4.599015e+000	-5.907868e-001
6.918939960767488e-003	3.797015e+000	-4.875795e-001
6.938471210767488e-003	2.937904e+000	-3.770386e-001
6.958002460767487e-003	2.034604e+000	-2.608266e-001
6.977533710767487e-003	1.100702e+000	-1.406915e-001
6.997064960767486e-003	1.502442e-001	-1.844035e-002
7.016596210767486e-003	-8.024728e-001	1.040882e-001
7.036127460767486e-003	-1.743120e+000	2.250511e-001
7.055658710767485e-003	-2.657548e+000	3.426291e-001
7.075189960767485e-003	-3.532005e+000	4.550537e-001
7.094721210767484e-003	-4.353336e+000	5.606337e-001
7.114252460767484e-003	-5.109190e+000	6.577814e-001
7.133783710767483e-003	-5.788197e+000	7.450354e-001
7.153314960767483e-003	-6.380143e+000	8.210833e-001
7.172846210767483e-003	-6.876127e+000	8.847814e-001
7.192377460767482e-003	-7.268688e+000	9.351716e-001
7.211908710767482e-003	-7.551921e+000	9.714959e-001
7.231439960767481e-003	-7.727436e+000	9.932081e-001
7.247050186702637e-003	-7.782810e+000	9.998282e-001
7.263903502947533e-003	-7.750144e+000	9.961867e-001
7.283434752947533e-003	-7.605672e+000	9.780149e-001
7.302966002947532e-003	-7.350821e+000	9.451329e-001
7.322497252947532e-003	-6.985406e+000	8.980352e-001
7.342028502947531e-003	-6.514925e+000	8.374302e-001
7.361559752947531e-003	-5.946451e+000	7.642295e-001
7.381091002947531e-003	-5.288538e+000	6.795340e-001
7.400622252947530e-003	-4.551080e+000	5.846177e-001
7.420153502947530e-003	-3.745170e+000	4.809083e-001
7.439684752947529e-003	-2.882929e+000	3.699655e-001
7.459216002947529e-003	-1.977326e+000	2.534581e-001
7.478747252947528e-003	-1.041982e+000	1.331384e-001
7.498278502947528e-003	-9.096646e-002	1.081627e-002
7.517809752947528e-003	8.614174e-001	-1.116686e-001
7.537341002947527e-003	1.800844e+000	-2.324738e-001
7.556872252947527e-003	2.713185e+000	-3.497825e-001
7.576403502947526e-003	3.584717e+000	-4.618300e-001
7.595934752947526e-003	4.402331e+000	-5.669313e-001
7.615466002947526e-003	5.153729e+000	-6.635053e-001
7.634997252947525e-003	5.827611e+000	-7.500997e-001
7.654528502947525e-003	6.413841e+000	-8.254118e-001
7.674059752947524e-003	6.903600e+000	-8.883089e-001
7.693591002947524e-003	7.289524e+000	-9.378451e-001
7.713122252947523e-003	7.565806e+000	-9.732752e-001
7.732653502947523e-003	7.733023e+000	-9.940664e-001
7.749026180598178e-003	7.784663e+000	-9.999813e-001
7.764638045556031e-003	7.748823e+000	-9.957734e-001
7.784169295556031e-003	7.598139e+000	-9.770421e-001
7.803700545556030e-003	7.339050e+000	-9.436151e-001
7.823231795556031e-003	6.969574e+000	-8.959953e-001
7.842763045556030e-003	6.495269e+000	-8.348988e-001
7.862294295556030e-003	5.923269e+000	-7.612447e-001
7.881825545556030e-003	5.262177e+000	-6.761408e-001
7.901356795556029e-003	4.521937e+000	-5.808671e-001
7.920888045556029e-003	3.713683e+000	-4.768566e-001
7.940419295556028e-003	2.849571e+000	-3.656738e-001
7.959950545556028e-003	1.942600e+000	-2.489908e-001
7.979481795556027e-003	1.006410e+000	-1.285629e-001
7.999013045556027e-003	5.508353e-002	-6.201178e-003
8.018544295556027e-003	-8.970717e-001	1.162538e-001
8.038075545556026e-003	-1.835734e+000	2.369602e-001
8.057606795556026e-003	-2.746785e+000	3.541025e-001
8.077138045556025e-003	-3.616521e+000	4.659187e-001
8.096669295556025e-003	-4.431862e+000	5.707271e-001
8.116200545556025e-003	-5.180543e+000	6.669513e-001
8.135731795556024e-003	-5.851304e+000	7.531438e-001
8.155263045556024e-003	-6.434056e+000	8.280084e-001
8.174794295556023e-003	-6.920035e+000	8.904190e-001
8.194325545556023e-003	-7.301929e+000	9.394369e-001
8.213856795556022e-003	-7.573997e+000	9.743247e-001
8.233388045556022e-003	-7.738724e+000	9.945578e-001
8.248527651729370e-003	-7.785569e+000	9.999572e-001
8.264452742236212e-003	-7.749172e+000	9.958797e-001
8.283983992236212e-003	-7.600055e+000	9.772894e-001
8.303515242236211e-003	-7.342034e+000	9.439999e-001
8.323046492236211e-003	-6.973582e+000	8.965117e-001
8.342577742236210e-003	-6.500241e+000	8.355391e-001
8.362108992236210e-003	-5.929129e+000	7.619992e-001
8.381640242236210e-003	-5.268837e+000	6.769982e-001
8.401171492236209e-003	-4.529298e+000	5.818145e-001
8.420702742236209e-003	-3.721633e+000	4.778797e-001
8.440233992236208e-003	-2.857992e+000	3.667572e-001
8.459765242236208e-003	-1.951364e+000	2.501183e-001
8.479296492236207e-003	-1.015386e+000	1.297174e-001
8.498827742236207e-003	-6.413586e-002	7.365446e-003
8.518358992236207e-003	8.880789e-001	-1.150973e-001
8.537890242236206e-003	1.826936e+000	-2.358289e-001
8.557421492236206e-003	2.738314e+000	-3.530134e-001
8.576952742236205e-003	3.608505e+000	-4.648882e-001
8.596483992236205e-003	4.424421e+000	-5.697707e-001
8.616015242236205e-003	5.173789e+000	-6.660833e-001
8.635546492236204e-003	5.845339e+000	-7.523774e-001
8.655077742236204e-003	6.428970e+000	-8.273550e-001
8.674608992236203e-003	6.915903e+000	-8.898885e-001
8.694140242236203e-003	7.298815e+000	-9.390372e-001
8.713671492236202e-003	7.571946e+000	-9.740619e-001
8.733202742236202e-003	7.735404e+000	-9.944358e-001
8.749920475737180e-003	7.785154e+000	-9.999999e-001
8.764970442303073e-003	7.748170e+000	-9.955794e-001
8.784501692303073e-003	7.594677e+000	-9.765950e-001
8.804032942303072e-003	7.333672e+000	-9.429216e-001
8.823564192303072e-003	6.962361e+000	-8.950658e-001
8.843095442303071e-003	6.486329e+000	-8.337474e-001
8.862626692303071e-003	5.912737e+000	-7.598888e-001
8.882157942303071e-003	5.250211e+000	-6.746006e-001
8.901689192303070e-003	4.508717e+000	-5.791658e-001
8.921220442303070e-003	3.699408e+000	-4.750198e-001
8.940751692303069e-003	2.834457e+000	-3.637291e-001
8.960282942303069e-003	1.926872e+000	-2.469676e-001
8.979814192303069e-003	9.903063e-001	-1.264914e-001
8.999345442303068e-003	3.884530e-002	-4.112696e-003
9.018876692303068e-003	-9.131998e-001	1.183279e-001
