time	V(vin)	V(vout)	V(n001)
1.862435117646190e-003	-1.411087e+000	-3.552461e+000	5.000000e+000
1.881966367646190e-003	-1.253067e+000	-3.709651e+000	5.000000e+000
1.901497617646190e-003	-1.076200e+000	-3.885601e+000	5.000000e+000
1.921028867646190e-003	-8.831464e-001	-4.077665e+000	5.000000e+000
1.940560117646190e-003	-6.768092e-001	-4.282954e+000	5.000000e+000
1.960091367646190e-003	-4.602922e-001	-4.498380e+000	5.000000e+000
1.979622617646190e-003	-2.368519e-001	-4.720704e+000	5.000000e+000
1.999153867646190e-003	-9.849105e-003	-4.946580e+000	5.000000e+000
2.018685117646190e-003	2.173018e-001	-5.172612e+000	5.000000e+000
2.038216367646190e-003	4.411843e-001	-5.395401e+000	5.000000e+000
2.057747617646190e-003	6.584310e-001	-5.611594e+000	5.000000e+000
2.077278867646190e-003	8.657743e-001	-5.817941e+000	5.000000e+000
2.096810117646190e-003	1.060095e+000	-6.011337e+000	5.000000e+000
2.116341367646190e-003	1.238472e+000	-6.188874e+000	5.000000e+000
2.135872617646190e-003	1.398221e+000	-6.347882e+000	5.000000e+000
2.155403867646190e-003	1.536939e+000	-6.485969e+000	5.000000e+000
2.174935117646190e-003	1.652540e+000	-6.601057e+000	5.000000e+000
2.194466367646190e-003	1.743285e+000	-6.691416e+000	5.000000e+000
2.213997617646190e-003	1.807810e+000	-6.755687e+000	5.000000e+000
2.233528867646190e-003	1.846076e+000	-6.793831e+000	5.000000e+000
2.250451477803203e-003	1.857313e+000	-6.805071e+000	5.000000e+000
2.265735149292713e-003	1.847526e+000	-6.795387e+000	5.000000e+000
2.285266399292713e-003	1.809709e+000	-6.757823e+000	5.000000e+000
2.304797649292713e-003	1.746191e+000	-6.694684e+000	5.000000e+000
2.324328899292713e-003	1.656408e+000	-6.605408e+000	5.000000e+000
2.343860149292713e-003	1.541712e+000	-6.491337e+000	5.000000e+000
2.363391399292713e-003	1.403826e+000	-6.354187e+000	5.000000e+000
2.382922649292713e-003	1.244826e+000	-6.196021e+000	5.000000e+000
2.402453899292713e-003	1.067103e+000	-6.019218e+000	5.000000e+000
2.421985149292713e-003	8.733292e-001	-5.826437e+000	5.000000e+000
2.441516399292713e-003	6.664199e-001	-5.620579e+000	5.000000e+000
2.461047649292713e-003	4.494870e-001	-5.404738e+000	5.000000e+000
2.480578899292713e-003	2.257934e-001	-5.182162e+000	5.000000e+000
2.519641399292714e-003	-2.283666e-001	-4.730247e+000	5.000000e+000
2.539172649292714e-003	-4.520019e-001	-4.507704e+000	5.000000e+000
2.558703899292714e-003	-6.688387e-001	-4.291918e+000	5.000000e+000
2.578235149292714e-003	-8.756157e-001	-4.086134e+000	5.000000e+000
2.597766399292714e-003	-1.069222e+000	-3.893448e+000	5.000000e+000
2.617297649292714e-003	-1.246747e+000	-3.716758e+000	5.000000e+000
2.636828899292714e-003	-1.405520e+000	-3.558722e+000	5.000000e+000
2.656360149292714e-003	-1.543152e+000	-3.421716e+000	5.000000e+000
2.675891399292714e-003	-1.657573e+000	-3.307801e+000	5.000000e+000
2.695422649292714e-003	-1.747064e+000	-3.218690e+000	5.000000e+000
2.714953899292714e-003	-1.810276e+000	-3.155725e+000	5.000000e+000
2.734485149292714e-003	-1.846979e+000	-3.119136e+000	5.000000e+000
2.752008459549084e-003	-1.856688e+000	-3.109414e+000	5.000000e+000
2.768270378407419e-003	-1.844024e+000	-3.121960e+000	5.000000e+000
2.787801628407419e-003	-1.802984e+000	-3.162729e+000	5.000000e+000
2.807332878407419e-003	-1.735994e+000	-3.229323e+000	5.000000e+000
2.826864128407419e-003	-1.642893e+000	-3.321902e+000	5.000000e+000
2.846395378407419e-003	-1.525082e+000	-3.439074e+000	5.000000e+000
2.865926628407419e-003	-1.384332e+000	-3.579075e+000	5.000000e+000
2.885457878407419e-003	-1.222760e+000	-3.739800e+000	5.000000e+000
2.904989128407419e-003	-1.042796e+000	-3.918833e+000	5.000000e+000
2.924520378407419e-003	-8.471484e-001	-4.113480e+000	5.000000e+000
2.944051628407420e-003	-6.387585e-001	-4.320812e+000	5.000000e+000
2.963582878407420e-003	-4.207611e-001	-4.537713e+000	5.000000e+000
2.983114128407420e-003	-1.964351e-001	-4.760920e+000	5.000000e+000
3.002645378407420e-003	3.084554e-002	-4.987074e+000	5.000000e+000
3.022176628407420e-003	2.576622e-001	-5.212775e+000	5.000000e+000
3.041707878407420e-003	4.806034e-001	-5.434628e+000	5.000000e+000
3.061239128407420e-003	6.963159e-001	-5.649296e+000	5.000000e+000
3.080770378407420e-003	9.015552e-001	-5.853551e+000	5.000000e+000
3.100301628407420e-003	1.093234e+000	-6.044319e+000	5.000000e+000
3.119832878407420e-003	1.268470e+000	-6.218732e+000	5.000000e+000
