time	V(vin)	V(vout)	V(n001)
2.656360149292714e-003	-1.543152e+000	-3.515897e+000	5.095000e+000
2.675891399292714e-003	-1.657573e+000	-3.401982e+000	5.095000e+000
2.695422649292714e-003	-1.747064e+000	-3.312872e+000	5.095000e+000
2.714953899292714e-003	-1.810276e+000	-3.249906e+000	5.095000e+000
2.734485149292714e-003	-1.846979e+000	-3.213318e+000	5.095000e+000
2.752008459549084e-003	-1.856688e+000	-3.203595e+000	5.095000e+000
2.768270378407419e-003	-1.844024e+000	-3.216141e+000	5.095000e+000
2.787801628407419e-003	-1.802984e+000	-3.256911e+000	5.095000e+000
2.807332878407419e-003	-1.735994e+000	-3.323505e+000	5.095000e+000
2.826864128407419e-003	-1.642893e+000	-3.416084e+000	5.095000e+000
2.846395378407419e-003	-1.525082e+000	-3.533255e+000	5.095000e+000
2.865926628407419e-003	-1.384332e+000	-3.673257e+000	5.095000e+000
2.885457878407419e-003	-1.222760e+000	-3.833982e+000	5.095000e+000
2.904989128407419e-003	-1.042796e+000	-4.013015e+000	5.095000e+000
2.924520378407419e-003	-8.471484e-001	-4.207661e+000	5.095000e+000
2.944051628407420e-003	-6.387585e-001	-4.414994e+000	5.095000e+000
2.963582878407420e-003	-4.207611e-001	-4.631895e+000	5.095000e+000
2.983114128407420e-003	-1.964351e-001	-4.855101e+000	5.095000e+000
3.002645378407420e-003	3.084554e-002	-5.081255e+000	5.095000e+000
3.022176628407420e-003	2.576622e-001	-5.306957e+000	5.095000e+000
3.041707878407420e-003	4.806034e-001	-5.528810e+000	5.095000e+000
3.061239128407420e-003	6.963159e-001	-5.743478e+000	5.095000e+000
3.080770378407420e-003	9.015552e-001	-5.947732e+000	5.095000e+000
3.100301628407420e-003	1.093234e+000	-6.138501e+000	5.095000e+000
3.119832878407420e-003	1.268470e+000	-6.312914e+000	5.095000e+000
3.139364128407420e-003	1.424627e+000	-6.468349e+000	5.095000e+000
3.158895378407420e-003	1.559356e+000	-6.602467e+000	5.095000e+000
3.178426628407420e-003	1.670631e+000	-6.713251e+000	5.095000e+000
3.197957878407420e-003	1.756778e+000	-6.799036e+000	5.095000e+000
3.217489128407420e-003	1.816501e+000	-6.858530e+000	5.095000e+000
3.237020378407420e-003	1.848903e+000	-6.890838e+000	5.095000e+000
3.256551628407420e-003	1.853644e+000	-6.895624e+000	5.095000e+000
3.275666975425134e-003	1.831142e+000	-6.873300e+000	5.095000e+000
3.295198225425134e-003	1.780760e+000	-6.823233e+000	5.095000e+000
3.314729475425134e-003	1.703742e+000	-6.746659e+000	5.095000e+000
3.334260725425134e-003	1.601097e+000	-6.644582e+000	5.095000e+000
3.353791975425134e-003	1.474371e+000	-6.518538e+000	5.095000e+000
3.373323225425134e-003	1.325469e+000	-6.370423e+000	5.095000e+000
3.392854475425134e-003	1.156630e+000	-6.202465e+000	5.095000e+000
3.412385725425134e-003	9.703948e-001	-6.017189e+000	5.095000e+000
3.431916975425134e-003	7.695639e-001	-5.817382e+000	5.095000e+000
3.451448225425134e-003	5.571580e-001	-5.606050e+000	5.095000e+000
3.470979475425134e-003	3.363719e-001	-5.386371e+000	5.095000e+000
3.490510725425134e-003	1.105265e-001	-5.161650e+000	5.095000e+000
3.510041975425134e-003	-1.169813e-001	-4.935266e+000	5.095000e+000
3.529573225425134e-003	-3.427297e-001	-4.710625e+000	5.095000e+000
3.549104475425134e-003	-5.633230e-001	-4.491105e+000	5.095000e+000
3.568635725425134e-003	-7.754434e-001	-4.280008e+000	5.095000e+000
3.588166975425134e-003	-9.759005e-001	-4.080509e+000	5.095000e+000
3.607698225425134e-003	-1.161679e+000	-3.895610e+000	5.095000e+000
3.627229475425134e-003	-1.329985e+000	-3.728090e+000	5.095000e+000
3.646760725425134e-003	-1.478287e+000	-3.580469e+000	5.095000e+000
3.666291975425134e-003	-1.604353e+000	-3.454969e+000	5.095000e+000
3.685823225425134e-003	-1.706289e+000	-3.353476e+000	5.095000e+000
3.705354475425134e-003	-1.782561e+000	-3.277517e+000	5.095000e+000
3.724885725425134e-003	-1.832021e+000	-3.228235e+000	5.095000e+000
3.744416975425134e-003	-1.854293e+000	-3.206005e+000	5.095000e+000
3.762924173823277e-003	-1.849320e+000	-3.210890e+000	5.095000e+000
3.782455423823277e-003	-1.816627e+000	-3.243354e+000	5.095000e+000
3.801986673823277e-003	-1.756976e+000	-3.302644e+000	5.095000e+000
3.821517923823277e-003	-1.670900e+000	-3.388232e+000	5.095000e+000
3.841049173823277e-003	-1.559691e+000	-3.498832e+000	5.095000e+000
3.860580423823277e-003	-1.425024e+000	-3.632780e+000	5.095000e+000
3.880111673823277e-003	-1.268922e+000	-3.788061e+000	5.095000e+000
3.899642923823277e-003	-1.093735e+000	-3.962339e+000	5.095000e+000
3.919174173823277e-003	-9.020969e-001	-4.152993e+000	5.095000e+000
3.938705423823277e-003	-6.968905e-001	-4.357156e+000	5.095000e+000
3.958236673823276e-003	-4.812022e-001	-4.571757e+000	5.095000e+000
3.977767923823276e-003	-2.582762e-001	-4.793568e+000	5.095000e+000
3.997299173823275e-003	-3.146545e-002	-5.019253e+000	5.095000e+000
4.016830423823275e-003	1.958186e-001	-5.245417e+000	5.095000e+000
4.036361673823275e-003	4.201573e-001	-5.468658e+000	5.095000e+000
4.055892923823274e-003	6.381764e-001	-5.685619e+000	5.095000e+000
4.075424173823274e-003	8.465968e-001	-5.893037e+000	5.095000e+000
4.094955423823273e-003	1.042284e+000	-6.087791e+000	5.095000e+000
4.114486673823273e-003	1.222294e+000	-6.266953e+000	5.095000e+000
4.134017923823273e-003	1.383919e+000	-6.427828e+000	5.095000e+000
4.153549173823272e-003	1.524729e+000	-6.567995e+000	5.095000e+000
4.173080423823272e-003	1.642606e+000	-6.685348e+000	5.095000e+000
4.192611673823271e-003	1.735776e+000	-6.778120e+000	5.095000e+000
4.212142923823271e-003	1.802839e+000	-6.844916e+000	5.095000e+000
4.231674173823270e-003	1.844133e+000	-6.886074e+000	5.095000e+000
4.247431556707668e-003	1.857021e+000	-6.898952e+000	5.095000e+000
4.264045287175838e-003	1.848892e+000	-6.890921e+000	5.095000e+000
4.283576537175838e-003	1.813936e+000	-6.856205e+000	5.095000e+000
4.303107787175837e-003	1.752741e+000	-6.795378e+000	5.095000e+000
4.322639037175837e-003	1.665183e+000	-6.708315e+000	5.095000e+000
4.342170287175836e-003	1.552579e+000	-6.596327e+000	5.095000e+000
4.361701537175836e-003	1.416623e+000	-6.461097e+000	5.095000e+000
4.381232787175836e-003	1.259359e+000	-6.304660e+000	5.095000e+000
4.400764037175835e-003	1.083154e+000	-6.129368e+000	5.095000e+000
4.420295287175835e-003	8.906570e-001	-5.937859e+000	5.095000e+000
4.439826537175834e-003	6.847637e-001	-5.733012e+000	5.095000e+000
4.459357787175834e-003	4.685709e-001	-5.517908e+000	5.095000e+000
4.478889037175833e-003	2.453305e-001	-5.295784e+000	5.095000e+000
4.498420287175833e-003	1.839996e-002	-5.069980e+000	5.095000e+000
4.517951537175833e-003	-2.088073e-001	-4.843892e+000	5.095000e+000
4.537482787175832e-003	-4.328738e-001	-4.620920e+000	5.095000e+000
4.557014037175832e-003	-6.504296e-001	-4.404420e+000	5.095000e+000
4.576545287175831e-003	-8.582023e-001	-4.197646e+000	5.095000e+000
4.596076537175831e-003	-1.053067e+000	-4.003709e+000	5.095000e+000
4.615607787175831e-003	-1.232092e+000	-3.825526e+000	5.095000e+000
4.635139037175830e-003	-1.392586e+000	-3.665778e+000	5.095000e+000
4.654670287175830e-003	-1.532134e+000	-3.526866e+000	5.095000e+000
4.674201537175829e-003	-1.648637e+000	-3.410880e+000	5.095000e+000
4.693732787175829e-003	-1.740343e+000	-3.319565e+000	5.095000e+000
4.713264037175828e-003	-1.805872e+000	-3.254294e+000	5.095000e+000
4.732795287175828e-003	-1.845337e+000	-3.214957e+000	5.095000e+000
4.749257041534661e-003	-1.857373e+000	-3.202924e+000	5.095000e+000
4.764723854410551e-003	-1.848587e+000	-3.211613e+000	5.095000e+000
4.784255104410551e-003	-1.812262e+000	-3.247691e+000	5.095000e+000
4.803786354410550e-003	-1.750134e+000	-3.309447e+000	5.095000e+000
4.823317604410550e-003	-1.661681e+000	-3.397400e+000	5.095000e+000
4.842848854410550e-003	-1.548235e+000	-3.510226e+000	5.095000e+000
4.862380104410549e-003	-1.411503e+000	-3.646229e+000	5.095000e+000
4.881911354410549e-003	-1.253540e+000	-3.803362e+000	5.095000e+000
4.901442604410548e-003	-1.076723e+000	-3.979263e+000	5.095000e+000
4.920973854410548e-003	-8.837103e-001	-4.171286e+000	5.095000e+000
4.940505104410548e-003	-6.774062e-001	-4.376542e+000	5.095000e+000
4.960036354410547e-003	-4.609133e-001	-4.591944e+000	5.095000e+000
4.979567604410547e-003	-2.374878e-001	-4.814253e+000	5.095000e+000
4.999098854410546e-003	-1.049031e-002	-5.040124e+000	5.095000e+000
5.018630104410546e-003	2.166650e-001	-5.266160e+000	5.095000e+000
5.038161354410545e-003	4.405614e-001	-5.488963e+000	5.095000e+000
5.057692604410545e-003	6.578314e-001	-5.705179e+000	5.095000e+000
5.077223854410545e-003	8.652071e-001	-5.911558e+000	5.095000e+000
5.096755104410544e-003	1.059569e+000	-6.104995e+000	5.095000e+000
5.116286354410544e-003	1.237994e+000	-6.282580e+000	5.095000e+000
5.135817604410543e-003	1.397799e+000	-6.441644e+000	5.095000e+000
5.155348854410543e-003	1.536579e+000	-6.579792e+000	5.095000e+000
5.174880104410543e-003	1.652248e+000	-6.694948e+000	5.095000e+000
5.194411354410542e-003	1.743066e+000	-6.785379e+000	5.095000e+000
5.213942604410542e-003	1.807666e+000	-6.849726e+000	5.095000e+000
5.233473854410541e-003	1.846022e+000	-6.887959e+000	5.095000e+000
5.250361905007093e-003	1.857342e+000	-6.899282e+000	5.095000e+000
5.265589296433447e-003	1.847714e+000	-6.889754e+000	5.095000e+000
5.285120546433446e-003	1.810082e+000	-6.852376e+000	5.095000e+000
5.304651796433446e-003	1.746764e+000	-6.789435e+000	5.095000e+000
5.324183046433445e-003	1.657173e+000	-6.700350e+000	5.095000e+000
5.343714296433445e-003	1.542656e+000	-6.586458e+000	5.095000e+000
5.363245546433445e-003	1.404937e+000	-6.449473e+000	5.095000e+000
5.382776796433444e-003	1.246086e+000	-6.291456e+000	5.095000e+000
5.402308046433444e-003	1.068493e+000	-6.114783e+000	5.095000e+000
5.421839296433443e-003	8.748287e-001	-5.922112e+000	5.095000e+000
5.441370546433443e-003	6.680062e-001	-5.716339e+000	5.095000e+000
5.460901796433442e-003	4.511362e-001	-5.500561e+000	5.095000e+000
5.480433046433442e-003	2.274807e-001	-5.278023e+000	5.095000e+000
5.519495546433441e-003	-2.266794e-001	-4.826107e+000	5.095000e+000
5.539026796433441e-003	-4.503530e-001	-4.603526e+000	5.095000e+000
5.558558046433440e-003	-6.672528e-001	-4.387678e+000	5.095000e+000
5.578089296433440e-003	-8.741165e-001	-4.181808e+000	5.095000e+000
5.597620546433440e-003	-1.067833e+000	-3.989013e+000	5.095000e+000
5.617151796433439e-003	-1.245488e+000	-3.812194e+000	5.095000e+000
5.636683046433439e-003	-1.404410e+000	-3.654008e+000	5.095000e+000
5.656214296433438e-003	-1.542208e+000	-3.516837e+000	5.095000e+000
5.675745546433438e-003	-1.656809e+000	-3.402743e+000	5.095000e+000
5.695276796433437e-003	-1.746491e+000	-3.313442e+000	5.095000e+000
5.714808046433437e-003	-1.809904e+000	-3.250277e+000	5.095000e+000
5.734339296433437e-003	-1.846846e+000	-3.213451e+000	5.095000e+000
5.751770992768144e-003	-1.856797e+000	-3.203489e+000	5.095000e+000
5.767883717378744e-003	-1.844588e+000	-3.215581e+000	5.095000e+000
5.787414967378743e-003	-1.804039e+000	-3.255862e+000	5.095000e+000
5.806946217378743e-003	-1.737578e+000	-3.321931e+000	5.095000e+000
5.826477467378743e-003	-1.644982e+000	-3.414007e+000	5.095000e+000
5.846008717378742e-003	-1.527643e+000	-3.530708e+000	5.095000e+000
5.865539967378742e-003	-1.387328e+000	-3.670276e+000	5.095000e+000
5.885071217378741e-003	-1.226145e+000	-3.830614e+000	5.095000e+000
5.904602467378741e-003	-1.046521e+000	-4.009310e+000	5.095000e+000
5.924133717378740e-003	-8.511553e-001	-4.203675e+000	5.095000e+000
5.943664967378740e-003	-6.429878e-001	-4.410786e+000	5.095000e+000
5.963196217378740e-003	-4.251492e-001	-4.627529e+000	5.095000e+000
5.982727467378739e-003	-2.009160e-001	-4.850643e+000	5.095000e+000
6.002258717378739e-003	2.633926e-002	-5.076772e+000	5.095000e+000
6.021789967378738e-003	2.531983e-001	-5.302515e+000	5.095000e+000
6.041321217378738e-003	4.762491e-001	-5.524477e+000	5.095000e+000
6.060852467378738e-003	6.921366e-001	-5.739319e+000	5.095000e+000
6.080383717378737e-003	8.976137e-001	-5.943810e+000	5.095000e+000
6.099914967378737e-003	1.089590e+000	-6.134873e+000	5.095000e+000
6.119446217378736e-003	1.265178e+000	-6.309637e+000	5.095000e+000
6.138977467378736e-003	1.421736e+000	-6.465471e+000	5.095000e+000
6.158508717378735e-003	1.556910e+000	-6.600032e+000	5.095000e+000
6.178039967378735e-003	1.668667e+000	-6.711296e+000	5.095000e+000
6.197571217378735e-003	1.755325e+000	-6.797588e+000	5.095000e+000
6.217102467378734e-003	1.815582e+000	-6.857613e+000	5.095000e+000
6.236633717378734e-003	1.848531e+000	-6.890466e+000	5.095000e+000
6.256164967378733e-003	1.853911e+000	-6.895888e+000	5.095000e+000
6.275037562015908e-003	1.832392e+000	-6.874542e+000	5.095000e+000
6.294568812015907e-003	1.782802e+000	-6.825262e+000	5.095000e+000
6.314100062015907e-003	1.706630e+000	-6.749531e+000	5.095000e+000
6.333631312015906e-003	1.604790e+000	-6.648255e+000	5.095000e+000
6.353162562015906e-003	1.478812e+000	-6.522956e+000	5.095000e+000
6.372693812015906e-003	1.330591e+000	-6.375519e+000	5.095000e+000
6.392225062015905e-003	1.162357e+000	-6.208162e+000	5.095000e+000
6.411756312015905e-003	9.766397e-001	-6.023402e+000	5.095000e+000
6.431287562015904e-003	7.762331e-001	-5.824018e+000	5.095000e+000
6.450818812015904e-003	5.641512e-001	-5.613008e+000	5.095000e+000
6.470350062015903e-003	3.435839e-001	-5.393547e+000	5.095000e+000
6.489881312015903e-003	1.178489e-001	-5.168936e+000	5.095000e+000
6.509412562015903e-003	-1.096588e-001	-4.942553e+000	5.095000e+000
6.528943812015902e-003	-3.355170e-001	-4.717802e+000	5.095000e+000
6.548475062015902e-003	-5.563288e-001	-4.498065e+000	5.095000e+000
6.568006312015901e-003	-7.687728e-001	-4.286646e+000	5.095000e+000
6.587537562015901e-003	-9.696538e-001	-4.086726e+000	5.095000e+000
6.607068812015901e-003	-1.155950e+000	-3.901311e+000	5.095000e+000
6.626600062015900e-003	-1.324860e+000	-3.733191e+000	5.095000e+000
6.646131312015900e-003	-1.473843e+000	-3.584893e+000	5.095000e+000
6.665662562015899e-003	-1.600658e+000	-3.458648e+000	5.095000e+000
6.685193812015899e-003	-1.703397e+000	-3.356356e+000	5.095000e+000
6.704725062015898e-003	-1.780516e+000	-3.279554e+000	5.095000e+000
6.724256312015898e-003	-1.830854e+000	-3.229398e+000	5.095000e+000
6.743787562015898e-003	-1.853880e+000	-3.206419e+000	5.095000e+000
6.762689960767491e-003	-1.849398e+000	-3.210813e+000	5.095000e+000
6.782221210767491e-003	-1.817177e+000	-3.242807e+000	5.095000e+000
6.801752460767491e-003	-1.757851e+000	-3.301775e+000	5.095000e+000
6.821283710767490e-003	-1.672084e+000	-3.387055e+000	5.095000e+000
6.840814960767490e-003	-1.561168e+000	-3.497364e+000	5.095000e+000
6.860346210767489e-003	-1.426770e+000	-3.631043e+000	5.095000e+000
6.879877460767489e-003	-1.270912e+000	-3.786081e+000	5.095000e+000
6.899408710767488e-003	-1.095939e+000	-3.960146e+000	5.095000e+000
6.918939960767488e-003	-9.044813e-001	-4.150621e+000	5.095000e+000
6.938471210767488e-003	-6.994197e-001	-4.354640e+000	5.095000e+000
6.958002460767487e-003	-4.838382e-001	-4.569134e+000	5.095000e+000
6.977533710767487e-003	-2.609792e-001	-4.790878e+000	5.095000e+000
6.997064960767486e-003	-3.419495e-002	-5.016537e+000	5.095000e+000
7.016596210767486e-003	1.931037e-001	-5.242715e+000	5.095000e+000
7.036127460767486e-003	4.174978e-001	-5.466011e+000	5.095000e+000
7.055658710767485e-003	6.356124e-001	-5.683067e+000	5.095000e+000
7.075189960767485e-003	8.441669e-001	-5.890618e+000	5.095000e+000
7.094721210767484e-003	1.040024e+000	-6.085543e+000	5.095000e+000
7.114252460767484e-003	1.220239e+000	-6.264908e+000	5.095000e+000
7.133783710767483e-003	1.382100e+000	-6.426017e+000	5.095000e+000
7.153314960767483e-003	1.523172e+000	-6.566446e+000	5.095000e+000
